node_id,zone_id,x_coord,y_coord
59,59,-76.6487575440816,40.10166128377006
60,60,-76.65795230545727,40.11173001304068
62,62,-76.66801448130563,40.131311500065344
63,63,-76.68596252222805,40.135917116015804
64,64,-76.71227977459216,40.139280417206855
65,65,-76.68512374655701,40.14163910231789
66,66,-76.7120648393883,40.15541584479272
67,67,-76.71735729324288,40.17840431251674
68,68,-76.69652632035776,40.17563680173381
69,69,-76.68737059150764,40.15365396710144
70,70,-76.66797607907077,40.16686179897253
71,71,-76.64715346859853,40.164956720130974
72,72,-76.6357149210163,40.175418192492124
73,73,-76.6563773917465,40.19394205953358
74,74,-76.65153049367879,40.20638988468529
75,75,-76.68512725724196,40.193997912490886
76,76,-76.71771054298885,40.197676897692745
77,77,-76.7052919569885,40.21165481565534
78,78,-76.71667146179128,40.21930351594108
79,79,-76.68529760839795,40.21601652764794
80,80,-76.68296454746672,40.234772736273456
81,81,-76.70191489482545,40.235924603468476
82,82,-76.71518120030659,40.2533172693774
83,83,-76.74644010284311,40.23047997327295
84,84,-76.7304051888692,40.231230037668084
85,85,-76.74135021760253,40.1941909233734
86,86,-76.76690091670721,40.21126176901824
87,87,-76.77055488836803,40.16312151698483
88,88,-76.76601576814559,40.18521123194345
89,89,-76.74374607718981,40.16178632708007
90,90,-76.81544628173403,40.222587997023766
91,91,-76.79104066598094,40.23238594225633
92,92,-76.80333094351772,40.26600866652518
93,93,-76.78043942799044,40.26630632513928
94,94,-76.75872298640337,40.25322590399234
95,95,-76.73032565220983,40.270998469010166
96,96,-76.75513489489882,40.28977576380876
97,97,-76.72667950352071,40.31256847493609
98,98,-76.70312195690101,40.31174942028096
99,99,-76.71919712667197,40.29751552433423
100,100,-76.73031264441703,40.29210211909681
101,101,-76.69951276257233,40.29313123806055
102,102,-76.66436104220263,40.30720780874637
103,103,-76.68612018491315,40.313623658673976
104,104,-76.69673186453171,40.33006632832957
105,105,-76.6731233396955,40.33582457745195
