name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,50208,,,,-112.0750993,33.4657386,,POINT (-112.0750993 33.4657386),46760.0,4347920559.0,0.0,secondary,,,inside
,50209,,,,-112.080297,33.4657962,,POINT (-112.080297 33.4657962),46761.0,42287674.0,0.0,secondary,,,inside
,50210,,,,-112.078265,33.4657767,,POINT (-112.078265 33.4657767),46762.0,41601104.0,0.0,secondary,,,inside
,50211,,,,-112.0816843,33.4658179,,POINT (-112.0816843 33.4658179),46763.0,4347920562.0,0.0,secondary,,,inside
,50212,,,,-112.082654,33.4658333,,POINT (-112.082654 33.4658333),46764.0,2361888695.0,0.0,secondary,,,inside
,50213,,,,-112.0777982,33.4657714,,POINT (-112.0777982 33.4657714),46765.0,5156896793.0,0.0,secondary,,,inside
,50219,,,,-112.1001251,33.4481041,,POINT (-112.1001251 33.4481041),46771.0,41878904.0,0.0,primary,,,inside
,50220,,,,-112.1000066,33.4357266,,POINT (-112.1000066 33.4357266),46772.0,4347929609.0,0.0,primary,,,inside
,50221,,,,-112.0999167,33.4313187,,POINT (-112.0999167 33.4313187),46773.0,2059776877.0,0.0,primary,,,inside
,50222,,,,-112.1000408,33.4407498,,POINT (-112.1000408 33.4407498),46774.0,4347929616.0,0.0,primary,,,inside
,50223,,,,-112.1000218,33.4372403,,POINT (-112.1000218 33.4372403),46775.0,4347929615.0,0.0,primary,,,inside
,50224,,,,-112.1000079,33.4358915,,POINT (-112.1000079 33.4358915),46776.0,4245709460.0,0.0,primary,,,inside
,50225,,,,-112.100042,33.441345,,POINT (-112.100042 33.441345),46777.0,42002770.0,0.0,primary,,,inside
,50226,,,,-112.0831991,33.4368308,,POINT (-112.0831991 33.4368308),46778.0,4347929614.0,0.0,secondary,,,inside
,50227,,,,-112.091269,33.4367502,,POINT (-112.091269 33.4367502),46779.0,41631323.0,0.0,secondary,,,inside
,50228,,,,-112.0918394,33.4367505,,POINT (-112.0918394 33.4367505),46780.0,4347929611.0,0.0,secondary,,,inside
,50229,,,,-112.1011225,33.4367512,,POINT (-112.1011225 33.4367512),46781.0,4347929612.0,0.0,secondary,,,inside
,50230,,,,-112.10434,33.4367686,,POINT (-112.10434 33.4367686),46782.0,41631332.0,0.0,secondary,,,inside
,50231,,,,-112.1773922,33.717249,,POINT (-112.1773922 33.717249),46783.0,1084065146.0,0.0,secondary,,,inside
,50232,,,,-112.1787779,33.7117924,,POINT (-112.1787779 33.7117924),46784.0,4347930079.0,0.0,secondary,,,inside
,50233,,,,-112.178776,33.7124372,,POINT (-112.178776 33.7124372),46785.0,4408254177.0,0.0,secondary,,,inside
,50234,,,,-112.1772462,33.7176552,,POINT (-112.1772462 33.7176552),46786.0,4347930396.0,0.0,secondary,,,inside
,50235,,,,-112.178841,33.7133475,,POINT (-112.178841 33.7133475),46787.0,4347930392.0,0.0,secondary,,,inside
