link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,vdf_length_mi,facility_type,link_type,free_speed,vdf_free_speed_mph,lanes,capacity,allowed_uses,notes,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,free_speed_in_mph_raw,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,vdf_fftt,is_link,from_biway,link_type_name,boundary_status
4699,East Marketplace Southwest,5591735,3961,3960,1,"LINESTRING (-112.058018 33.3023155, -112.0577663 33.3022181, -112.0575475 33.3021389, -112.0574623 33.3021119)",1,56.4,0.035045324,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4700,South Desert Foothills Parkway,538723168,3961,74560,1,"LINESTRING (-112.058018 33.3023155, -112.0577705 33.3027071, -112.0575884 33.3029682)",1,82.85,0.051480587,tertiary,5,40,24.85490947,2,2400,,,0,0.15,4,1,25,,,,,,,,,inside
4720,West Estrella Drive,5591870,3969,3970,1,"LINESTRING (-112.2031813 33.3340003, -112.2026714 33.334002, -112.1950008 33.3340057, -112.1949497 33.3340057, -112.1944311 33.3340037, -112.194003 33.3340021, -112.1918004 33.3339994, -112.1912004 33.3339985, -112.1887746 33.3339933, -112.1863577 33.3339945, -112.183833 33.3339828, -112.1832605 33.3339779, -112.182688 33.3339674, -112.1813045 33.3339317, -112.1798234 33.333902, -112.1783946 33.3338744, -112.1782242 33.3338714, -112.1779972 33.3338673)",1,2339.8,1.453883866,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,cross_boundary
4723,West Estrella Drive,5591870,3970,3969,1,"LINESTRING (-112.1779972 33.3338673, -112.1782242 33.3338714, -112.1783946 33.3338744, -112.1798234 33.333902, -112.1813045 33.3339317, -112.182688 33.3339674, -112.1832605 33.3339779, -112.183833 33.3339828, -112.1863577 33.3339945, -112.1887746 33.3339933, -112.1912004 33.3339985, -112.1918004 33.3339994, -112.194003 33.3340021, -112.1944311 33.3340037, -112.1949497 33.3340057, -112.1950008 33.3340057, -112.2026714 33.334002, -112.2031813 33.3340003)",1,2339.8,1.453883866,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,cross_boundary
4724,West Estrella Drive,687260353,3970,76956,1,"LINESTRING (-112.1779972 33.3338673, -112.1776762 33.3338462)",1,29.91,0.018585207,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4839,East Mountain Gate Pass,5592786,4017,4018,1,"LINESTRING (-112.0328613 33.6948414, -112.0326822 33.6944273, -112.032656 33.6943685, -112.0325544 33.6941509, -112.032528 33.6940894, -112.0323863 33.693778, -112.0320063 33.6929208, -112.0317679 33.692383, -112.0316285 33.6920288, -112.0315494 33.6918967, -112.0315007 33.6918221, -112.0314496 33.6917705)",1,366.21,0.227552274,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4840,East Mountain Gate Pass,900180921,4017,78994,1,"LINESTRING (-112.0328613 33.6948414, -112.0328832 33.6948929)",1,6.07,0.003771722,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4841,East Mountain Gate Pass,5592786,4018,4017,1,"LINESTRING (-112.0314496 33.6917705, -112.0315007 33.6918221, -112.0315494 33.6918967, -112.0316285 33.6920288, -112.0317679 33.692383, -112.0320063 33.6929208, -112.0323863 33.693778, -112.032528 33.6940894, -112.0325544 33.6941509, -112.032656 33.6943685, -112.0326822 33.6944273, -112.0328613 33.6948414)",1,366.21,0.227552274,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4842,East Mountain Gate Pass,552580962,4018,82636,1,"LINESTRING (-112.0314496 33.6917705, -112.0313341 33.6916814, -112.0312057 33.6916159, -112.0310658 33.6915539, -112.030964 33.6915307)",1,52.94,0.032895381,tertiary,5,40,24.85490947,1,1200,,,0,0.15,4,1,25,,,,,,,,,inside
4852,,23811143,4023,8422,1,"LINESTRING (-112.084263 33.6691702, -112.0846723 33.6691382, -112.0850459 33.6691412, -112.0854195 33.6691442, -112.0858837 33.6691597)",1,150.19,0.09332371,motorway,1,120,74.5647284,2,4600,,,0,0.15,4,1,75,,,,,,,,,inside
4853,West Beardsley Road,531449125,4023,66656,1,"LINESTRING (-112.084263 33.6691702, -112.085858 33.669285)",1,148.16,0.092062327,secondary,4,60,37.2823642,2,3200,,,0,0.15,4,1,35,,,,,,,,,inside
