node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,resolution_type
633483,,-79.746747,43.869141,,,0,0.1,0.1,POINT (-79.746747 43.869141),Macro
633484,,-79.746284,43.393616,,,0,0.1,0.1,POINT (-79.746284 43.393616),Macro
633485,,-79.74597,43.86913,,,0,0.1,0.1,POINT (-79.745970 43.869130),Macro
464790,,-79.745914,40.948336,,,0,0.1,0.1,POINT (-79.745914 40.948336),Macro
464791,,-79.745764,34.843864,,,0,0.1,0.1,POINT (-79.745764 34.843864),Macro
464792,,-79.74567,35.29429,,,0,0.1,0.1,POINT (-79.745670 35.294290),Macro
633486,,-79.745658,43.695511,,,0,0.1,0.1,POINT (-79.745658 43.695511),Macro
633487,,-79.745628,43.695533,,,0,0.1,0.1,POINT (-79.745628 43.695533),Macro
464793,,-79.745346,40.121784,,,0,0.1,0.1,POINT (-79.745346 40.121784),Macro
633488,,-79.745132,43.69518,,,0,0.1,0.1,POINT (-79.745132 43.695180),Macro
464794,,-79.744614,33.917693,,,0,0.1,0.1,POINT (-79.744614 33.917693),Macro
464795,,-79.743984,40.146219,,,0,0.1,0.1,POINT (-79.743984 40.146219),Macro
464797,,-79.743668,41.901742,,,0,0.1,0.1,POINT (-79.743668 41.901742),Macro
633489,,-79.74362,46.980583,,,0,0.1,0.1,POINT (-79.743620 46.980583),Macro
464798,,-79.743547,40.155407,,,0,0.1,0.1,POINT (-79.743547 40.155407),Macro
464799,,-79.743039,40.127208,,,0,0.1,0.1,POINT (-79.743039 40.127208),Macro
464800,,-79.743027,36.166145,,,0,0.1,0.1,POINT (-79.743027 36.166145),Macro
464801,,-79.74234,40.133221,,,0,0.1,0.1,POINT (-79.742340 40.133221),Macro
633490,,-79.742159,43.869278,,,0,0.1,0.1,POINT (-79.742159 43.869278),Macro
633491,,-79.74211,46.969044,,,0,0.1,0.1,POINT (-79.742110 46.969044),Macro
633492,,-79.741946,47.572165,,,0,0.1,0.1,POINT (-79.741946 47.572165),Macro
633493,,-79.741805,43.69269,,,0,0.1,0.1,POINT (-79.741805 43.692690),Macro
633494,,-79.741637,43.398012,,,0,0.1,0.1,POINT (-79.741637 43.398012),Macro
464802,,-79.740989,34.562451,,,0,0.1,0.1,POINT (-79.740989 34.562451),Macro
464803,,-79.74084,38.81229,,,0,0.1,0.1,POINT (-79.740840 38.812290),Macro
633495,,-79.740818,43.868441,,,0,0.1,0.1,POINT (-79.740818 43.868441),Macro
633496,,-79.740747,43.869291,,,0,0.1,0.1,POINT (-79.740747 43.869291),Macro
464804,,-79.740376,40.606825,,,0,0.1,0.1,POINT (-79.740376 40.606825),Macro
464805,,-79.74034,35.40579,,,0,0.1,0.1,POINT (-79.740340 35.405790),Macro
464807,,-79.740189,34.205783,,,0,0.1,0.1,POINT (-79.740189 34.205783),Macro
633497,,-79.739934,43.691922,,,0,0.1,0.1,POINT (-79.739934 43.691922),Macro
464808,,-79.739932,40.606838,,,0,0.1,0.1,POINT (-79.739932 40.606838),Macro
633498,,-79.739888,43.869314,,,0,0.1,0.1,POINT (-79.739888 43.869314),Macro
633499,,-79.739839,43.621177,,,0,0.1,0.1,POINT (-79.739839 43.621177),Macro
464809,,-79.739791,36.168702,,,0,0.1,0.1,POINT (-79.739791 36.168702),Macro
633500,,-79.739701,43.691798,,,0,0.1,0.1,POINT (-79.739701 43.691798),Macro
633501,,-79.739201,43.691757,,,0,0.1,0.1,POINT (-79.739201 43.691757),Macro
633502,,-79.739188,43.691721,,,0,0.1,0.1,POINT (-79.739188 43.691721),Macro
633503,,-79.739149,43.692001,,,0,0.1,0.1,POINT (-79.739149 43.692001),Macro
464811,,-79.739013,39.836292,,,0,0.1,0.1,POINT (-79.739013 39.836292),Macro
633504,,-79.738774,43.39439,,,0,0.1,0.1,POINT (-79.738774 43.394390),Macro
464812,,-79.738559,40.977301,,,0,0.1,0.1,POINT (-79.738559 40.977301),Macro
464813,,-79.738526,34.554183,,,0,0.1,0.1,POINT (-79.738526 34.554183),Macro
464814,,-79.738468,34.205047,,,0,0.1,0.1,POINT (-79.738468 34.205047),Macro
464815,,-79.738325,37.557591,,,0,0.1,0.1,POINT (-79.738325 37.557591),Macro
464816,,-79.738208,40.973981,,,0,0.1,0.1,POINT (-79.738208 40.973981),Macro
633505,,-79.737855,43.692119,,,0,0.1,0.1,POINT (-79.737855 43.692119),Macro
633506,,-79.737829,43.868608,,,0,0.1,0.1,POINT (-79.737829 43.868608),Macro
464817,,-79.737784,34.20445,,,0,0.1,0.1,POINT (-79.737784 34.204450),Macro
633507,,-79.737718,43.401835,,,0,0.1,0.1,POINT (-79.737718 43.401835),Macro
633508,,-79.737711,43.593095,,,0,0.1,0.1,POINT (-79.737711 43.593095),Macro
633509,,-79.737662,43.870096,,,0,0.1,0.1,POINT (-79.737662 43.870096),Macro
464818,,-79.737485,39.395683,,,0,0.1,0.1,POINT (-79.737485 39.395683),Macro
633510,,-79.737408,43.868512,,,0,0.1,0.1,POINT (-79.737408 43.868512),Macro
464819,,-79.737329,40.980447,,,0,0.1,0.1,POINT (-79.737329 40.980447),Macro
464820,,-79.737276,36.168339,,,0,0.1,0.1,POINT (-79.737276 36.168339),Macro
633511,,-79.737058,43.613228,,,0,0.1,0.1,POINT (-79.737058 43.613228),Macro
464821,,-79.737045,37.49125,,,0,0.1,0.1,POINT (-79.737045 37.491250),Macro
633512,,-79.73692,43.612938,,,0,0.1,0.1,POINT (-79.736920 43.612938),Macro
633513,,-79.736771,43.612357,,,0,0.1,0.1,POINT (-79.736771 43.612357),Macro
464822,,-79.736677,34.203486,,,0,0.1,0.1,POINT (-79.736677 34.203486),Macro
633514,,-79.736602,43.611656,,,0,0.1,0.1,POINT (-79.736602 43.611656),Macro
633515,,-79.736571,43.868353,,,0,0.1,0.1,POINT (-79.736571 43.868353),Macro
633516,,-79.736488,43.692709,,,0,0.1,0.1,POINT (-79.736488 43.692709),Macro
633517,,-79.736465,43.692655,,,0,0.1,0.1,POINT (-79.736465 43.692655),Macro
464823,,-79.736257,40.607669,,,0,0.1,0.1,POINT (-79.736257 40.607669),Macro
633518,,-79.736214,43.610736,,,0,0.1,0.1,POINT (-79.736214 43.610736),Macro
633519,,-79.736159,43.610747,,,0,0.1,0.1,POINT (-79.736159 43.610747),Macro
633520,,-79.736101,43.610758,,,0,0.1,0.1,POINT (-79.736101 43.610758),Macro
633521,,-79.735832,42.968891,,,0,0.1,0.1,POINT (-79.735832 42.968891),Macro
633522,,-79.73577,44.511978,,,0,0.1,0.1,POINT (-79.735770 44.511978),Macro
464824,,-79.735748,40.399058,,,0,0.1,0.1,POINT (-79.735748 40.399058),Macro
633523,,-79.735726,43.398053,,,0,0.1,0.1,POINT (-79.735726 43.398053),Macro
633524,,-79.735651,43.868823,,,0,0.1,0.1,POINT (-79.735651 43.868823),Macro
633525,,-79.73542,42.968666,,,0,0.1,0.1,POINT (-79.735420 42.968666),Macro
633526,,-79.735412,43.610747,,,0,0.1,0.1,POINT (-79.735412 43.610747),Macro
633527,,-79.735352,43.86875,,,0,0.1,0.1,POINT (-79.735352 43.868750),Macro
633528,,-79.735162,43.592038,,,0,0.1,0.1,POINT (-79.735162 43.592038),Macro
633529,,-79.735155,43.591988,,,0,0.1,0.1,POINT (-79.735155 43.591988),Macro
633530,,-79.734976,43.403009,,,0,0.1,0.1,POINT (-79.734976 43.403009),Macro
464827,,-79.734937,40.608107,,,0,0.1,0.1,POINT (-79.734937 40.608107),Macro
633531,,-79.734882,43.404294,,,0,0.1,0.1,POINT (-79.734882 43.404294),Macro
633532,,-79.734799,43.403313,,,0,0.1,0.1,POINT (-79.734799 43.403313),Macro
464828,,-79.734796,34.870586,,,0,0.1,0.1,POINT (-79.734796 34.870586),Macro
633533,,-79.734749,43.404511,,,0,0.1,0.1,POINT (-79.734749 43.404511),Macro
633534,,-79.734601,43.592035,,,0,0.1,0.1,POINT (-79.734601 43.592035),Macro
633535,,-79.734551,43.703853,,,0,0.1,0.1,POINT (-79.734551 43.703853),Macro
633536,,-79.734386,43.86806,,,0,0.1,0.1,POINT (-79.734386 43.868060),Macro
633537,,-79.734377,43.868097,,,0,0.1,0.1,POINT (-79.734377 43.868097),Macro
633538,,-79.734363,43.868136,,,0,0.1,0.1,POINT (-79.734363 43.868136),Macro
633539,,-79.734064,43.40534,,,0,0.1,0.1,POINT (-79.734064 43.405340),Macro
464830,,-79.734016,40.607067,,,0,0.1,0.1,POINT (-79.734016 40.607067),Macro
633540,,-79.733946,43.692854,,,0,0.1,0.1,POINT (-79.733946 43.692854),Macro
464831,,-79.733935,40.606826,,,0,0.1,0.1,POINT (-79.733935 40.606826),Macro
633541,,-79.733833,44.52747,,,0,0.1,0.1,POINT (-79.733833 44.527470),Macro
633542,,-79.733796,43.703381,,,0,0.1,0.1,POINT (-79.733796 43.703381),Macro
633543,,-79.733677,43.591959,,,0,0.1,0.1,POINT (-79.733677 43.591959),Macro
464832,,-79.73365,40.606172,,,0,0.1,0.1,POINT (-79.733650 40.606172),Macro
633544,,-79.733642,43.693166,,,0,0.1,0.1,POINT (-79.733642 43.693166),Macro
633545,,-79.733633,43.402261,,,0,0.1,0.1,POINT (-79.733633 43.402261),Macro
633546,,-79.733486,43.692946,,,0,0.1,0.1,POINT (-79.733486 43.692946),Macro
464833,,-79.733424,40.605487,,,0,0.1,0.1,POINT (-79.733424 40.605487),Macro
633547,,-79.733332,43.591943,,,0,0.1,0.1,POINT (-79.733332 43.591943),Macro
464834,,-79.733263,40.607397,,,0,0.1,0.1,POINT (-79.733263 40.607397),Macro
464835,,-79.733257,40.607549,,,0,0.1,0.1,POINT (-79.733257 40.607549),Macro
633548,,-79.733244,43.702882,,,0,0.1,0.1,POINT (-79.733244 43.702882),Macro
464836,,-79.733221,40.607858,,,0,0.1,0.1,POINT (-79.733221 40.607858),Macro
464837,,-79.733195,40.607058,,,0,0.1,0.1,POINT (-79.733195 40.607058),Macro
633549,,-79.733183,43.693037,,,0,0.1,0.1,POINT (-79.733183 43.693037),Macro
464838,,-79.733162,40.6079,,,0,0.1,0.1,POINT (-79.733162 40.607900),Macro
464839,,-79.733141,40.608129,,,0,0.1,0.1,POINT (-79.733141 40.608129),Macro
464840,,-79.733135,40.606969,,,0,0.1,0.1,POINT (-79.733135 40.606969),Macro
633550,,-79.733056,43.702741,,,0,0.1,0.1,POINT (-79.733056 43.702741),Macro
633551,,-79.73303,43.693203,,,0,0.1,0.1,POINT (-79.733030 43.693203),Macro
633552,,-79.732958,43.396767,,,0,0.1,0.1,POINT (-79.732958 43.396767),Macro
633553,,-79.732829,43.702627,,,0,0.1,0.1,POINT (-79.732829 43.702627),Macro
633554,,-79.732738,43.693124,,,0,0.1,0.1,POINT (-79.732738 43.693124),Macro
