node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
626490,,-84.373506,46.526911,,,0,0.100000,0.100000,"POINT (-84.373506 46.526911)"
433297,,-84.373435,39.476099,,,0,0.100000,0.100000,"POINT (-84.373435 39.476099)"
433298,,-84.373434,42.237428,,,0,0.100000,0.100000,"POINT (-84.373434 42.237428)"
433299,,-84.373179,39.481548,,,0,0.100000,0.100000,"POINT (-84.373179 39.481548)"
433300,,-84.372971,38.785965,,,0,0.100000,0.100000,"POINT (-84.372971 38.785965)"
433301,,-84.372599,39.469900,,,0,0.100000,0.100000,"POINT (-84.372599 39.469900)"
626491,,-84.372592,46.522164,,,0,0.100000,0.100000,"POINT (-84.372592 46.522164)"
433302,,-84.372581,39.481156,,,0,0.100000,0.100000,"POINT (-84.372581 39.481156)"
626492,,-84.372580,46.521686,,,0,0.100000,0.100000,"POINT (-84.372580 46.521686)"
626493,,-84.372483,46.524283,,,0,0.100000,0.100000,"POINT (-84.372483 46.524283)"
433303,,-84.372325,39.481479,,,0,0.100000,0.100000,"POINT (-84.372325 39.481479)"
433304,,-84.372314,36.326608,,,0,0.100000,0.100000,"POINT (-84.372314 36.326608)"
433305,,-84.372287,35.092546,,,0,0.100000,0.100000,"POINT (-84.372287 35.092546)"
626494,,-84.372207,46.525823,,,0,0.100000,0.100000,"POINT (-84.372207 46.525823)"
626495,,-84.372139,46.524460,,,0,0.100000,0.100000,"POINT (-84.372139 46.524460)"
433306,,-84.372112,34.366076,,,0,0.100000,0.100000,"POINT (-84.372112 34.366076)"
433307,,-84.372070,40.550566,,,0,0.100000,0.100000,"POINT (-84.372070 40.550566)"
626496,,-84.371795,46.522182,,,0,0.100000,0.100000,"POINT (-84.371795 46.522182)"
433308,,-84.371551,39.478169,,,0,0.100000,0.100000,"POINT (-84.371551 39.478169)"
433309,,-84.371459,41.093828,,,0,0.100000,0.100000,"POINT (-84.371459 41.093828)"
433310,,-84.371413,39.470467,,,0,0.100000,0.100000,"POINT (-84.371413 39.470467)"
626497,,-84.371408,46.524787,,,0,0.100000,0.100000,"POINT (-84.371408 46.524787)"
626498,,-84.371222,46.527025,,,0,0.100000,0.100000,"POINT (-84.371222 46.527025)"
433311,,-84.371220,34.382040,,,0,0.100000,0.100000,"POINT (-84.371220 34.382040)"
626499,,-84.371215,46.522456,,,0,0.100000,0.100000,"POINT (-84.371215 46.522456)"
433312,,-84.371214,46.494849,,,0,0.100000,0.100000,"POINT (-84.371214 46.494849)"
626500,,-84.371094,46.523184,,,0,0.100000,0.100000,"POINT (-84.371094 46.523184)"
626501,,-84.371013,46.525999,,,0,0.100000,0.100000,"POINT (-84.371013 46.525999)"
433313,,-84.370980,34.380760,,,0,0.100000,0.100000,"POINT (-84.370980 34.380760)"
433314,,-84.370977,39.480357,,,0,0.100000,0.100000,"POINT (-84.370977 39.480357)"
433315,,-84.370907,33.751357,,,0,0.100000,0.100000,"POINT (-84.370907 33.751357)"
433316,,-84.370902,40.550440,,,0,0.100000,0.100000,"POINT (-84.370902 40.550440)"
433317,,-84.370833,37.350124,,,0,0.100000,0.100000,"POINT (-84.370833 37.350124)"
626502,,-84.370824,46.522425,,,0,0.100000,0.100000,"POINT (-84.370824 46.522425)"
433318,,-84.370733,39.478017,,,0,0.100000,0.100000,"POINT (-84.370733 39.478017)"
626503,,-84.370681,46.526098,,,0,0.100000,0.100000,"POINT (-84.370681 46.526098)"
626504,,-84.370656,46.527096,,,0,0.100000,0.100000,"POINT (-84.370656 46.527096)"
626505,,-84.370604,46.522631,,,0,0.100000,0.100000,"POINT (-84.370604 46.522631)"
626506,,-84.370559,46.523263,,,0,0.100000,0.100000,"POINT (-84.370559 46.523263)"
626507,,-84.370526,46.522624,,,0,0.100000,0.100000,"POINT (-84.370526 46.522624)"
433319,,-84.370509,39.467524,,,0,0.100000,0.100000,"POINT (-84.370509 39.467524)"
433320,,-84.370261,35.707232,,,0,0.100000,0.100000,"POINT (-84.370261 35.707232)"
626508,,-84.369988,46.523736,,,0,0.100000,0.100000,"POINT (-84.369988 46.523736)"
433321,,-84.369948,40.551085,,,0,0.100000,0.100000,"POINT (-84.369948 40.551085)"
433322,,-84.369910,43.411838,,,0,0.100000,0.100000,"POINT (-84.369910 43.411838)"
433323,,-84.369724,39.477855,,,0,0.100000,0.100000,"POINT (-84.369724 39.477855)"
433324,,-84.369713,30.528769,,,0,0.100000,0.100000,"POINT (-84.369713 30.528769)"
433325,,-84.369701,39.479166,,,0,0.100000,0.100000,"POINT (-84.369701 39.479166)"
433326,,-84.369669,39.034582,,,0,0.100000,0.100000,"POINT (-84.369669 39.034582)"
626509,,-84.369667,46.523939,,,0,0.100000,0.100000,"POINT (-84.369667 46.523939)"
433327,,-84.369564,38.786394,,,0,0.100000,0.100000,"POINT (-84.369564 38.786394)"
433328,,-84.369560,44.359720,,,0,0.100000,0.100000,"POINT (-84.369560 44.359720)"
626510,,-84.369522,46.524517,,,0,0.100000,0.100000,"POINT (-84.369522 46.524517)"
433329,,-84.369464,41.283483,,,0,0.100000,0.100000,"POINT (-84.369464 41.283483)"
626511,,-84.369414,46.524099,,,0,0.100000,0.100000,"POINT (-84.369414 46.524099)"
433330,,-84.369275,39.467241,,,0,0.100000,0.100000,"POINT (-84.369275 39.467241)"
626512,,-84.369221,46.524035,,,0,0.100000,0.100000,"POINT (-84.369221 46.524035)"
433331,,-84.369125,33.751892,,,0,0.100000,0.100000,"POINT (-84.369125 33.751892)"
626513,,-84.369124,46.524236,,,0,0.100000,0.100000,"POINT (-84.369124 46.524236)"
626514,,-84.369119,46.524800,,,0,0.100000,0.100000,"POINT (-84.369119 46.524800)"
