ID,YardName,Polygon_WKT,Main_Direction
98,31ST STREET,"POLYGON ((-104.9938709183083 39.76247600320922, -104.9897848619934 39.77191388838188, -104.9791108406618 39.7769163220585, -104.9791273328493 39.77627686082752, -104.9938709183083 39.76247600320922))","((-104.99387091830826, 39.76247600320922), (-104.9791108406618, 39.776916322058504))"
99,8TH STREET YARD,"POLYGON ((-95.91693400596797 41.24139502239521, -95.91931301146357 41.24471525413009, -95.9227772953422 41.2572077162081, -95.91867829383079 41.24922139164453, -95.91693400596797 41.24139502239521))","((-95.91693400596797, 41.24139502239521), (-95.9227772953422, 41.2572077162081))"
100,9TH ST YARD (BNSF),"POLYGON ((-97.32125084625865 32.74881002594243, -97.32269653937996 32.7505492027685, -97.32257581860323 32.75421516218983, -97.32201876508088 32.75389362541475, -97.32125084625865 32.74881002594243))","((-97.32125084625865, 32.748810025942426), (-97.32257581860323, 32.75421516218983))"
101,ABERDEEN,"POLYGON ((-98.53205372528292 45.45905585722785, -98.50224470923958 45.46595993510434, -98.4908709125326 45.46576914956285, -98.49124498654524 45.46525330836852, -98.53205372528292 45.45905585722785))","((-98.53205372528292, 45.459055857227845), (-98.4908709125326, 45.465769149562846))"
102,ABILENE (BNSF),"POLYGON ((-97.20376383840936 38.9124780044758, -97.20963348266348 38.913254139307, -97.19659049528509 38.9132359190564, -97.19699760763591 38.91274671214319, -97.20376383840936 38.9124780044758))","((-97.20963348266348, 38.913254139307), (-97.1965904952851, 38.913235919056405))"
103,ALASKA RAIL FERRY,"POLYGON ((-122.3530073835257 47.5840722152023, -122.3534986084057 47.58466997338428, -122.3513511183089 47.5881410406985, -122.3502430185485 47.58552382905559, -122.3530073835257 47.5840722152023))","((-122.35300738352572, 47.5840722152023), (-122.35135111830893, 47.5881410406985))"
104,ALBUQUERQUE-ABAJO,"POLYGON ((-106.6523898838975 35.05428056039301, -106.6522948172307 35.07107648434307, -106.6483383390436 35.08024669136606, -106.6478956923543 35.07755561606105, -106.6523898838975 35.05428056039301))","((-106.65238988389751, 35.05428056039301), (-106.64833833904363, 35.080246691366064))"
105,ALCOA YARD,"POLYGON ((-118.3380832612533 33.84815288885277, -118.3397423334211 33.84805716910473, -118.3532751454402 33.85893049504287, -118.3526460434262 33.85902475483599, -118.3380832612533 33.84815288885277))","((-118.33808326125327, 33.84815288885277), (-118.35327514544015, 33.85893049504287))"
106,ALLIANCE,"POLYGON ((-102.902596568593 42.06240785521881, -102.8830689758974 42.09417311282409, -102.8392811975492 42.09523547362213, -102.839473118693 42.09462363901541, -102.902596568593 42.06240785521881))","((-102.90259656859303, 42.06240785521881), (-102.8392811975492, 42.095235473622125))"
107,ALLIANCE,"POLYGON ((-97.35470291725844 32.9896011127419, -97.35619494122429 33.00187067630392, -97.35337893701589 33.01969944945212, -97.35062084984058 32.99062197783961, -97.35470291725844 32.9896011127419))","((-97.35470291725844, 32.9896011127419), (-97.35337893701589, 33.01969944945212))"
108,ALLIANCE,"POLYGON ((-97.35290806705467 32.98106026866106, -97.3552081490148 32.99015169428069, -97.35097652631278 32.9910593216724, -97.35057062132778 32.98942679919402, -97.35290806705467 32.98106026866106))","((-97.35290806705467, 32.98106026866106), (-97.35097652631278, 32.991059321672395))"
109,AMARILLO,"POLYGON ((-101.8053585446579 35.20887655871162, -101.825581383197 35.20897835069426, -101.8367452176626 35.21350215384336, -101.7773355374472 35.21834783258657, -101.8053585446579 35.20887655871162))","((-101.83674521766255, 35.213502153843365), (-101.77733553744717, 35.218347832586566))"
110,AMARILLO AUTO RAMP,"POLYGON ((-101.8586063793212 35.1190323425463, -101.8567451954252 35.13317598067549, -101.8337342641539 35.17791881055058, -101.8340164536032 35.1685013213686, -101.8586063793212 35.1190323425463))","((-101.85860637932117, 35.119032342546305), (-101.83373426415389, 35.17791881055058))"
